direction,code,network,links,color,name,physical_mode,headsign,label,equipments,text_color,trip_short_name,commercial_mode,description,links,arrival_date_time,additional_informations,departure_date_time,base_arrival_date_time,base_departure_date_time,data_freshness,delay,is_delayed
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857724,Le Croisic - Nantes - Rennes Via Sablé,[],,857724,TER,,[],2023-01-05 20:05:00,[],20230105T200500,2023-01-05 20:05:00,20230105T200500,base_schedule,0 days 00:00:00,False
Saint-Malo (Saint-Malo),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8093,Rennes - Paris Montparnasse Hall 1 &2,[],,8093,TGV INOUI,,[],2023-01-05 20:10:00,[],20230105T201400,2023-01-05 20:10:00,20230105T201400,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858392,Nantes - Rennes Via Redon,[],,858392,TER,,[],2023-01-05 20:21:00,[],20230105T202100,2023-01-05 20:21:00,20230105T202100,base_schedule,0 days 00:00:00,False
Quimper (Quimper),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8739,Paris Montparnasse Hall 1 &2 - Quimper,[],,8739,TGV INOUI,,[],2023-01-05 20:25:00,[],20230105T202900,2023-01-05 20:25:00,20230105T202900,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8641,Brest - Paris Montparnasse Hall 1 &2,[],,8641,TGV INOUI,,[],2023-01-05 20:25:00,[],20230105T203200,2023-01-05 20:25:00,20230105T203200,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Marseille Saint-Charles,Train grande vitesse,5386,Rennes - Marseille Saint-Charles,[],,5386,TGV INOUI,,[],2023-01-05 20:32:00,[],20230105T203200,2023-01-05 20:32:00,20230105T203200,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Nantes - Rennes Via Redon,Train grande vitesse,858394,Nantes - Rennes Via Redon,[],,858394,TER,,[],2023-01-05 21:21:00,[],20230105T212100,2023-01-05 21:21:00,20230105T212100,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8746,Paris Montparnasse Hall 1 &2 - Quimper,[],,8746,TGV INOUI,,[],2023-01-05 21:25:00,[],20230105T213500,2023-01-05 21:25:00,20230105T213500,base_schedule,0 days 00:00:00,False
Lorient (Lorient),,TGV INOUI,[],,Paris Montparnasse Hall 1 &2 - Quimper,Train grande vitesse,8751,Paris Montparnasse Hall 1 &2 - Quimper,[],,8751,TGV INOUI,,[],2023-01-05 21:25:00,[],20230105T212900,2023-01-05 21:25:00,20230105T212900,base_schedule,0 days 00:00:00,False
Brest (Brest),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8651,Brest - Paris Montparnasse Hall 1 &2,[],,8651,TGV INOUI,,[],2023-01-05 21:25:00,[],20230105T213200,2023-01-05 21:25:00,20230105T213200,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Lille Europe - Rennes,Train grande vitesse,9838,Lille Europe - Rennes,[],,9838,TGV INOUI,,[],2023-01-05 21:29:00,[],20230105T212900,2023-01-05 21:29:00,20230105T212900,base_schedule,0 days 00:00:00,False
Paris Montparnasse Hall 1 &2 (Paris),,TGV INOUI,[],,Brest - Paris Montparnasse Hall 1 &2,Train grande vitesse,8646,Brest - Paris Montparnasse Hall 1 &2,[],,8646,TGV INOUI,,[],2023-01-05 21:29:00,[],20230105T213500,2023-01-05 21:29:00,20230105T213500,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TER,[],,Le Croisic - Nantes - Rennes Via Sablé,Train grande vitesse,857728,Le Croisic - Nantes - Rennes Via Sablé,[],,857728,TER,,[],2023-01-05 22:01:00,[],20230105T220100,2023-01-05 22:01:00,20230105T220100,base_schedule,0 days 00:00:00,False
Rennes (Rennes),,TGV INOUI,[],,Rennes - Paris Montparnasse Hall 1 &2,Train grande vitesse,8063,Rennes - Paris Montparnasse Hall 1 &2,[],,8063,TGV INOUI,,[],2023-01-05 23:11:00,[],20230105T231100,2023-01-05 23:11:00,20230105T231100,base_schedule,0 days 00:00:00,False
